What is your primary means of transportation to and from the U. Washington?,"On average, how many minutes does it take you to get to the U. Washington from your home?","In an average week, how many days are you on the UW campus?",How often do you… [use the light rail or bus?],How often do you… [go to downtown Seattle?],How often do you… [use a mobile phone while walking?],How often do you… [travel on a road that requires a toll?],How often do you… [use a Lime Bike/Uber e-bike?],"On average, how many days in a week (out of 7 days) do you use Uber/Lyft or other ride hailing apps?",What is your primary reason for using an Uber/Lyft?,"In the past 7 days, how many rides did you hail using an Uber/Lyft app? ","In the past 7 days, how much did you spend on Uber/Lyft or other ride hailing apps (in US dollars)?",How often do you: [share an Uber/Lyft ride with someone you did not know],How often do you: [work or do homework in an Uber/Lyft],How often do you: [observe the Uber/Lyft driver talk on their cell phone while driving],How often do you: [observe the Uber/Lyft driver violating a traffic law],How often do you: [rate the Uber/Lyft driver],"On average, how many days in a week (out of 7 days) do you drive?",Please rate how often you do the following activities. [Speed up at a yellow traffic light],Please rate how often you do the following activities. [Honk at the vehicle in front],Please rate how often you do the following activities. [Drive 5 miles over the posted speed],Please rate how often you do the following activities. [Drive 10 miles over the posted speed],Please rate how often you do the following activities. [Check your phone while driving],Please rate how often you do the following activities. [Use your phone when stopped at an intersection],Please rate how often you do the following activities. [Interact with in-vehicle entertainment systems while driving],Please indicate how much you agree or disagree with the following statements. [My driving skills are better than the average person],Please indicate how much you agree or disagree with the following statements. [Bicyclists should not be riding in the same lanes as cars],Please indicate how much you agree or disagree with the following statements. [Driving next to large trucks is stressful],"In the past 5 years, how many times have you been involved in a car crash? ","In the past 5 years, how many times have you received a ticket for a moving violation? ",Please indicate how much you agree or disagree with the following statements. [I choose my mode of transport based on weather],Please indicate how much you agree or disagree with the following statements. [I am often frustrated with Seattle traffic],Please indicate how much you agree or disagree with the following statements. [Autonomous (driverless) cars will be safer than human operated cars],Please indicate how much you agree or disagree with the following statements. [Pedestrians should not look at their mobile phones while walking],Please indicate how much you agree or disagree with the following statements. [Bicyclists in Seattle are too aggressive],Please indicate how much you agree or disagree with the following statements. [Seattle public transportation is reliable],Please indicate how much you agree or disagree with the following statements. [I think the UW provides a quality education],How often... [does traffic impact the time you arrive at work/school],How often... [does the traffic impact the time you leave work/school],"How often... [do you properly sort waste into trash, recyclables and compost]",Are you:,Are you:,How old are you?,Do you rent or own your current living space?,What navigation app do you use most often?,Do you live with a significant other or other family members?,How many people live in your household?,How many children under 6 years old live in your household?,How many vehicles are in your household?  ,Do you have a US driver's license?,How old were you when you got your driver's license?,Are you a:,Do you plan to vote in the next presidential election? 
Bus,15,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,4,Always,Sometimes,Always,Often,Often,Often,Never,Strongly agree,Strongly agree,Strongly disagree,3 or more,2,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Always,Often,Often,Student,Male,27,Rent,Google Maps,No,,,,Yes,18,Permanent Resident (Green Card Holder),
Walk,15,Every weekday (M-F),Rarely,Rarely,Sometimes,Rarely,Often,3,Convenience,1,15,Often,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Sometimes,Rarely,Student,Female,24,Rent,Google Maps,No,,,,Yes,23,Other non-US citizen status,
Light rail,20,1-2 days,Always,Often,Always,Never,Often,3,Convenience,2,25,Sometimes,Never,Sometimes,Sometimes,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Never,Never,Always,Student,Female,29,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Drive,10,Every weekday (M-F),Rarely,Rarely,Sometimes,Sometimes,Sometimes,0,,,,,,,,,3,Often,Never,Rarely,Rarely,Rarely,Never,Never,Somewhat disagree,Somewhat agree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Often,Often,Often,Student,Female,24,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Bus,20,"Every day, including weekends",Always,Always,Rarely,Never,Sometimes,1,Convenience,1,8,Often,Never,Sometimes,Never,Rarely,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Often,Often,Always,Student,Male,,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,Every weekday (M-F),Always,Often,Rarely,Often,Never,1,Convenience,1,10,Rarely,Never,Never,Never,Rarely,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Sometimes,Often,Student,Female,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Often,Often,Always,Student,Female,25,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,5,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,Do not want to drive when intoxicated,0,5,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,0,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Always,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,"Every day, including weekends",Always,Sometimes,Always,Sometimes,Rarely,2,Convenience,2,10,Rarely,Never,Sometimes,Sometimes,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Rarely,Always,Student,Female,22,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,3-4 days,Often,Sometimes,Always,Rarely,Never,2,Convenience,1,20,Never,Never,Sometimes,Rarely,Often,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Never,Never,Never,Student,Male,26,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Never,Rarely,Sometimes,Never,Never,1,Safety,0,0,Rarely,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Never,Never,Often,Student,Male,22,Rent,Google Maps,No,,,,No,,J1,
Walk,15,"Every day, including weekends",Sometimes,Sometimes,Often,Never,Never,2,Safety,0,0,Often,Never,Never,Rarely,Always,0,,,,,,,,,,,,,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Student,Female,19,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Bus,45,"Every day, including weekends",Always,Sometimes,Often,Rarely,Sometimes,1,Weather-related,0,0,Never,Never,Rarely,Never,Sometimes,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Often,Sometimes,Always,Student,Male,20,"Neither, I live with others who pay",Google Maps,Yes,4,0,2,No,,US Citizen,Yes
Walk,20,"Every day, including weekends",Rarely,Rarely,Sometimes,Always,Never,0,,,,,,,,,2,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Neither agree nor disagree,Strongly agree,Strongly agree,0,1,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Never,Never,Always,Faculty/Staff,Male,35,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
ALL ,30,3-4 days,Always,Often,Always,Often,Often,7,Convenience,5,38,Rarely,Never,Never,Sometimes,Rarely,5,Sometimes,Often,Always,Rarely,Sometimes,Often,Rarely,Neither agree nor disagree,Strongly disagree,Somewhat agree,0,1,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,,Sometimes,Never,Always,GRADUATE STUDENT MLIS LIBRARY SCIENCE ISCHOOL,Other,37,Rent,Google Maps,Yes,4,1,5,Yes,21,US Citizen,Yes
Bus,20,Every weekday (M-F),Often,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,3,Often,Rarely,Often,,Rarely,Sometimes,Sometimes,Neither agree nor disagree,Strongly disagree,Somewhat agree,3 or more,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sometimes,Sometimes,Sometimes,Student,Female,21,Rent,Google Maps,Yes,2,0,1,Yes,16,US Citizen,Yes
Bus,30,Every weekday (M-F),Sometimes,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Male,21,Rent,Google Maps,Yes,2,0,0,Yes,16,US Citizen,Yes
Bus,20,3-4 days,Often,Sometimes,Rarely,Never,Never,0,,,,,,,,,2,Sometimes,Rarely,Sometimes,Often,Rarely,Rarely,Rarely,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,0,0,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Rarely,Often,Student,Male,24,Rent,Google Maps,No,,,,Yes,17,US Citizen,Yes
Walk,12,"Every day, including weekends",Often,Often,Always,Never,Rarely,1,Convenience,1,7,Never,Never,Sometimes,Never,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Female,19,Rent,Google Maps,No,,,,No,,US Citizen,Yes
Walk,25,Every weekday (M-F),Sometimes,Rarely,Rarely,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Never,Never,Often,Student,Female,22,Rent,Google Maps,Yes,2,0,0,Yes,16,US Citizen,Yes
Walk,30,Every weekday (M-F),Often,Sometimes,Often,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Never,Never,Often,Student,Female,23,Rent,Apple Maps,No,,,,Yes,16,US Citizen,Yes
Bus,30,Every weekday (M-F),Always,Sometimes,Sometimes,Rarely,Rarely,0,,,,,,,,,2,Never,Never,Often,Often,Never,Rarely,Sometimes,Somewhat disagree,Strongly disagree,Strongly agree,0,0,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Often,Never,Often,Student,Male,24,Rent,Apple Maps,No,,,,Yes,21,US Citizen,Yes
Walk,15,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Never,Rarely,1,Convenience,0,1,Sometimes,Never,Never,Never,Always,0,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Never,Never,Sometimes,Student,Male,25,Rent,Apple Maps,No,,,,No,,Other non-US citizen status,
Bus,45,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,5,Sometimes,Rarely,Often,Rarely,Rarely,Sometimes,Sometimes,Somewhat agree,Somewhat disagree,Somewhat agree,2,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Rarely,Rarely,Student,Male,28,Rent,Google Maps,Yes,2,0,2,Yes,17,US Citizen,Yes
Walk,15,3-4 days,Sometimes,Rarely,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Rarely,Never,Sometimes,Student,Female,23,Rent,Google Maps,No,,,,Yes,18,US Citizen,Yes
Walk,15,Every weekday (M-F),Often,Sometimes,Always,Never,Rarely,2,Convenience,2,30,Sometimes,Never,Sometimes,Rarely,Always,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Often,Student,Female,24,Rent,Google Maps,Yes,2,0,0,Yes,16,US Citizen,Yes
Walk,10,"Every day, including weekends",Sometimes,Rarely,Often,Rarely,Never,0,,,,,,,,,1,Sometimes,Never,Always,Often,Rarely,Sometimes,Sometimes,Somewhat disagree,Neither agree nor disagree,Strongly agree,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Rarely,Often,Often,Student,Female,19,Rent,Google Maps,Prefer not to say,,,,Yes,16,US Citizen,Yes
Light rail,75,"Every day, including weekends",Often,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Never,Never,Always,Student,Male,18,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,20,3-4 days,Often,Always,Often,Rarely,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Always,Student,Male,26,Rent,Google Maps,No,,,,Yes,18,US Citizen,Yes
Bus,15,3-4 days,Rarely,Sometimes,Always,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Often,Sometimes,Student,Female,19,Rent,Google Maps,No,,,,No,,,No
Walk,12,Every weekday (M-F),Often,Often,Often,Never,Never,0,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,0,0,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Sometimes,Sometimes,Often,Student,Female,21,Rent,Google Maps,No,,,,No,,US Citizen,Yes
Walk,5,"Every day, including weekends",Sometimes,Sometimes,Always,Never,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Never,Often,Student,Female,18,Rent,Google Maps,No,,,,No,,US Citizen,Yes
Bus,25,Every weekday (M-F),Always,Sometimes,Never,Often,Never,3,Convenience,1,15,Sometimes,Rarely,Rarely,Never,Always,0,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Often,Rarely,Always,Student,Female,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,Every weekday (M-F),Sometimes,Often,Sometimes,Sometimes,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Rarely,Rarely,Often,Student,Male,21,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,,Every weekday (M-F),Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3,Do not want to drive when intoxicated,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3 or more,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Student,Male,,Rent,MapQuest,No,,,,No,,Other non-US citizen status,
Walk,13,"Every day, including weekends",Sometimes,Often,Often,Sometimes,Never,2,Safety,3,24,Sometimes,Never,Never,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Rarely,Rarely,Sometimes,Student,Female,24,Rent,Google Maps,No,,,,Yes,24,Other non-US citizen status,
Walk,25,Every weekday (M-F),Always,Often,Always,Never,Never,1,Do not want to drive when intoxicated,0,0,Sometimes,Never,Never,Never,Often,2,Rarely,Never,Always,Sometimes,Sometimes,Sometimes,Often,Somewhat agree,Somewhat disagree,Somewhat agree,0,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Sometimes,Rarely,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,30,Every weekday (M-F),Always,Sometimes,Rarely,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Always,Never,Always,Student,Female,24,Rent,Google Maps,No,,,,Yes,17,Other non-US citizen status,
Walk,15,1-2 days,Sometimes,Rarely,Sometimes,Rarely,Sometimes,1,Convenience,0,0,Often,Rarely,Sometimes,Rarely,Rarely,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Often,Often,Sometimes,Student,Female,25,Rent,Google Maps,No,,,,Yes,22,Other non-US citizen status,
Bus,10,"Every day, including weekends",Sometimes,Sometimes,Often,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Never,Never,Often,Student,Male,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,7,3-4 days,Often,Sometimes,Always,Never,Never,1,Convenience,0,0,Often,Never,Never,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Never,Never,Often,Student,Male,19,Rent,Google Maps,No,,,,Yes,16,US Citizen,Yes
Walk,15,Every weekday (M-F),Sometimes,Rarely,Sometimes,Never,Never,1,Convenience,1,15,Rarely,Never,Never,Never,Never,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Rarely,Rarely,Sometimes,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,20,Every weekday (M-F),Sometimes,Sometimes,Often,Rarely,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Rarely,Rarely,Often,Student,Male,23,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,10,"Every day, including weekends",Always,Sometimes,Often,Rarely,Rarely,1,Weather-related,1,3.5,Never,Never,Rarely,Never,Rarely,0,,,,,,,,,,,,,,,,,,,,Often,Sometimes,Sometimes,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,25,Every weekday (M-F),Always,Sometimes,Often,Rarely,Never,0,,,,,,,,,1,Always,Never,Always,Often,Rarely,Rarely,Often,Somewhat agree,Strongly agree,Strongly agree,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Often,Always,Sometimes,Student,Female,20,"Neither, I live with others who pay",Google Maps,No,,,,Yes,16,US Citizen,Yes
Bus,15,Every weekday (M-F),Often,Sometimes,Sometimes,Never,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Always,Always,Sometimes,Student,Female,20,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,3-4 days,Always,Sometimes,Rarely,Rarely,Never,1,I don't drive,3,60,Never,Never,Rarely,Never,Always,0,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,Sometimes,Always,Student,Female,24,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,10,Every weekday (M-F),Often,Rarely,Always,Never,Often,0,,,,,,,,,0,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Never,Never,Often,Student,Female,20,Rent,Google Maps,No,,,,Yes,17,US Citizen,Have not decided
Bus,40,"Every day, including weekends",Rarely,Rarely,Sometimes,Rarely,Never,0,,,,,,,,,0,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Sometimes,Always,Student,Female,26,Rent,Google Maps,No,,,,Yes,25,Other non-US citizen status,
Bus,35,Every weekday (M-F),Always,Rarely,Rarely,Never,Sometimes,1,Convenience,1,50,Never,Never,Rarely,Never,Often,0,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Always,Student,Male,23,Rent,Google Maps,Yes,7,0,3,Yes,22,Other non-US citizen status,
Bus,30,Every weekday (M-F),Always,Sometimes,Rarely,Never,Never,2,I don't drive,2,40,Rarely,Never,Rarely,Rarely,Never,0,,,,,,,,,,,,,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Often,Often,Often,Student,Male,27,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Walk,15,"Every day, including weekends",Sometimes,Sometimes,Sometimes,Sometimes,Rarely,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Male,23,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Walk,20,Every weekday (M-F),Often,Sometimes,Sometimes,Rarely,Often,2,Convenience,1,12,Often,Never,Never,Never,Always,0,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Often,Student,Male,22,Rent,Google Maps,No,,,,Yes,21,Other non-US citizen status,
Bus,20,Every weekday (M-F),Always,Always,Always,Always,Never,3,Convenience,5,30,Never,Always,Always,Always,Always,1,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,2,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Sometimes,Sometimes,Visiting scholar,Female,35,Rent,Google Maps,Yes,2,0,1,Yes,22,Other non-US citizen status,
Bus,20,"Every day, including weekends",Sometimes,Rarely,Often,Never,Rarely,1,Convenience,0,0,Sometimes,Never,Rarely,Rarely,Always,1,Always,Sometimes,Sometimes,Often,Often,Often,Sometimes,Strongly agree,Strongly agree,Strongly agree,0,1,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Always,Often,Sometimes,Student,Male,,Rent,Google Maps,No,,,,Yes,18,,
Drive,20,3-4 days,Often,Sometimes,Sometimes,Never,Never,1,Convenience,7,50,Rarely,Never,Rarely,Never,Often,5,Sometimes,Never,Rarely,Often,Rarely,Rarely,Never,Neither agree nor disagree,Strongly agree,Somewhat agree,0,0,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Rarely,Rarely,Always,Faculty/Staff,Female,39,Rent,Google Maps,Yes,3,0,1,Yes,11,Other non-US citizen status,
Walk,25,Every weekday (M-F),Often,Always,Always,Sometimes,Never,1,Convenience,1,16.71,Never,Never,Sometimes,Never,Never,1,Rarely,Rarely,Often,Often,Rarely,Rarely,Sometimes,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,1,0,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Rarely,Rarely,Often,Student,Male,25,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
Drive,15,Every weekday (M-F),Rarely,Often,Often,Often,Rarely,2,Convenience,1,20,Sometimes,Never,Often,Never,Sometimes,7,Sometimes,Rarely,Often,Often,Often,Often,Often,Neither agree nor disagree,Strongly agree,Strongly agree,1,0,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Rarely,Always,Student,Female,26,Rent,Google Maps,No,,,,Yes,19,Other non-US citizen status,
Walk,25,1-2 days,Sometimes,Rarely,Often,Never,Sometimes,0,,,,,,,,,0,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Never,Never,Often,Student,Male,27,Rent,Google Maps,No,,,,No,,Other non-US citizen status,
Bus,15,Every weekday (M-F),Rarely,Sometimes,Often,Sometimes,Sometimes,3,Convenience,3,30,Rarely,Never,Never,Rarely,Sometimes,0,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Sometimes,Rarely,Always,Student,Male,,Rent,Google Maps,No,,,,Yes,18,Other non-US citizen status,
